DCs,Threshold,AvgResponseTime,ProcessingTime,Cost
1,2,2808.29,5580.20,16.74
1,3,2805.35,5580.82,16.74
1,4,2821.13,5579.82,16.74
2,2,1410.24,2792.95,8.38
2,3,1420.01,2779.42,8.34
2,4,1433.98,2805.81,8.42
3,2,946.59,1882.38,5.65
3,3,958.87,1856.42,5.57
3,4,967.40,1842.60,5.53
4,2,716.99,1411.44,4.23
4,3,727.46,1384.80,4.15
4,4,740.65,1414.25,4.24
5,2,577.65,1130.24,3.39
5,3,587.26,1145.49,3.44
5,4,598.38,1187.62,3.56
6,2,484.93,936.00,2.81
6,3,495.89,935.04,2.81
6,4,503.69,981.01,2.94
7,2,418.59,814.97,2.44
7,3,429.45,795.31,2.39
7,4,441.87,825.50,2.48
8,2,369.19,716.58,2.15
8,3,379.55,738.19,2.21
8,4,390.23,780.55,2.34
| Datacenters | Threshold = 2 | Threshold = 3 | Threshold = 4 |
| :---: | :---: | :---: | :---: |
| 1 | 2808.29 | 2805.35 | 2821.13 |
| 2 | 1410.24 | 1420.01 | 1433.98 |
| 3 | 946.59 | 958.87 | 967.40 |
| 4 | 716.99 | 727.46 | 740.65 |
| 5 | 577.65 | 587.26 | 598.38 |
| 6 | 484.93 | 495.89 | 503.69 |
| 7 | 418.59 | 429.45 | 441.87 |
| 8 | 369.19 | 379.55 | 390.23 |
