Scenario,Method,VMs,DCs,Tasks,AvgResponseTime,DCProcessingTime,OperationalCost,LowSpecTasks,HighSpecTasks
S1-SBDLB,SBDLB,80,8,100000,2359709.61,1603824352.37,4811473.06,47247,52660
S1-Throttled,Throttled,80,8,100000,787287.88,1606248374.41,4818745.12,57134,42835
S1-SBDLB,SBDLB,160,8,100000,3661976.33,1690967906.96,5072903.72,99736,0
S1-Throttled,Throttled,160,8,100000,1220287.09,1693386805.06,5080160.42,99912,0
S1-SBDLB,SBDLB,240,8,100000,3649728.80,1681273652.46,5043820.96,99496,0
S1-Throttled,Throttled,240,8,100000,1221867.45,1694220719.10,5082662.16,99832,0
S1-SBDLB,SBDLB,320,8,100000,3636815.66,1671249447.77,5013748.34,99256,0
S1-Throttled,Throttled,320,8,100000,1219622.57,1689756114.15,5069268.34,99752,0
S1-SBDLB,SBDLB,400,8,100000,3632241.91,1665129528.13,4995388.58,99016,0
S1-Throttled,Throttled,400,8,100000,1216650.68,1684284154.37,5052852.46,99672,0
S1-SBDLB,SBDLB,480,8,100000,3629692.64,1659940505.41,4979821.52,98776,0
S1-Throttled,Throttled,480,8,100000,1215790.03,1681741929.41,5045225.79,99592,0
S1-SBDLB,SBDLB,560,8,100000,3617001.42,1650098626.47,4950295.88,98536,0
S1-Throttled,Throttled,560,8,100000,1216720.20,1681674396.53,5045023.19,99512,0
S1-SBDLB,SBDLB,640,8,100000,3627109.95,1650681185.53,4952043.56,98296,0
S1-Throttled,Throttled,640,8,100000,1217753.02,1681748700.49,5045246.10,99432,0
S1-SBDLB,SBDLB,80,8,200000,2363714.09,3214519769.80,9643559.31,96581,103326
S1-Throttled,Throttled,80,8,200000,791211.80,3228963304.40,9686889.91,113980,85989
S1-SBDLB,SBDLB,160,8,200000,3655097.42,3379970588.38,10139911.77,199736,0
S1-Throttled,Throttled,160,8,200000,1219046.23,3384779596.45,10154338.79,199912,0
S1-SBDLB,SBDLB,240,8,200000,3661473.38,3381794847.36,10145384.54,199496,0
S1-Throttled,Throttled,240,8,200000,1223432.33,3395599673.03,10186799.02,199832,0
S1-SBDLB,SBDLB,320,8,200000,3648726.56,3365978409.82,10097935.23,199256,0
S1-Throttled,Throttled,320,8,200000,1219318.60,3382827857.80,10148483.57,199752,0
S1-SBDLB,SBDLB,400,8,200000,3658065.91,3370500921.18,10111502.76,199016,0
S1-Throttled,Throttled,400,8,200000,1219621.30,3382313350.53,10146940.05,199672,0
S1-SBDLB,SBDLB,480,8,200000,3650637.14,3359610453.59,10078831.36,198776,0
S1-Throttled,Throttled,480,8,200000,1222469.45,3388854944.44,10166564.83,199592,0
S1-SBDLB,SBDLB,560,8,200000,3640457.88,3346207809.65,10038623.43,198536,0
S1-Throttled,Throttled,560,8,200000,1218996.95,3377867189.70,10133601.57,199512,0
S1-SBDLB,SBDLB,640,8,200000,3650055.49,3350984358.77,10052953.08,198296,0
S1-Throttled,Throttled,640,8,200000,1220121.57,3379633114.36,10138899.34,199432,0
S1-SBDLB,SBDLB,80,8,300000,2366825.19,4828838273.82,14486514.82,145249,154658
S1-Throttled,Throttled,80,8,300000,788533.28,4827282856.60,14481848.57,172807,127162
S1-SBDLB,SBDLB,160,8,300000,3668317.71,5090470439.73,15271411.32,299736,0
S1-Throttled,Throttled,160,8,300000,1219190.05,5078503803.20,15235511.41,299912,0
S1-SBDLB,SBDLB,240,8,300000,3663983.30,5080394309.95,15241182.93,299496,0
S1-Throttled,Throttled,240,8,300000,1219900.64,5080102329.81,15240306.99,299832,0
S1-SBDLB,SBDLB,320,8,300000,3650802.61,5058061302.46,15174183.91,299256,0
S1-Throttled,Throttled,320,8,300000,1221050.42,5083533802.94,15250601.41,299752,0
S1-SBDLB,SBDLB,400,8,300000,3662590.32,5070334070.98,15211002.21,299016,0
S1-Throttled,Throttled,400,8,300000,1219970.60,5077683640.43,15233050.92,299672,0
S1-SBDLB,SBDLB,480,8,300000,3651865.62,5051400371.06,15154201.11,298776,0
S1-Throttled,Throttled,480,8,300000,1218492.12,5070174808.64,15210524.43,299592,0
S1-SBDLB,SBDLB,560,8,300000,3657858.21,5055652802.07,15166958.41,298536,0
S1-Throttled,Throttled,560,8,300000,1221109.66,5079709937.77,15239129.81,299512,0
S1-SBDLB,SBDLB,640,8,300000,3651578.43,5042900129.09,15128700.39,298296,0
S1-Throttled,Throttled,640,8,300000,1225319.76,5095862644.99,15287587.93,299432,0
S1-SBDLB,SBDLB,80,8,400000,2359440.19,6418835234.37,19256505.70,196090,203817
S1-Throttled,Throttled,80,8,400000,788744.61,6438255787.25,19314767.36,230424,169545
S1-SBDLB,SBDLB,160,8,400000,3668823.35,6789686844.38,20369060.53,399736,0
S1-Throttled,Throttled,160,8,400000,1220939.66,6781534126.80,20344602.38,399912,0
